irradiance,humidity,wind_speed,ambient_temperature,tilt_angle,kwh,season,month
818.37,44.71,0.64,34.72,15.97,205.42,summer,March
947.96,35.35,0.97,43.39,27.89,239.52,summer,March
757.97,35.03,1.62,34.98,28.83,191.24,summer,March
695.72,27.98,0.97,41.57,37.48,176.48,summer,March
931.58,27.67,4.36,31.77,32.01,234.72,summer,March
626.03,37.05,3.12,41.12,12.96,158.32,summer,March
956.11,31.03,2.92,36.46,15.56,240.75,summer,March
801.05,28.64,4.5,32.24,39.65,201.85,summer,March
946.93,41.63,0.62,38.95,16.61,238.16,summer,March
786.19,32.73,4.48,34.83,34.92,198.34,summer,March
677.18,21.09,4.7,40.86,15.76,171.99,summer,March
842.17,45.17,4.83,34.2,27.31,211.72,summer,March
909.56,33.36,0.34,43.52,12.2,229.55,summer,March
606.44,32.16,0.14,33.39,26.0,153.23,summer,March
818.5,34.72,4.74,34.99,19.41,206.17,summer,March
745.76,25.13,4.93,44.07,23.62,189.5,summer,March
890.79,41.52,4.45,32.87,12.8,223.48,summer,March
679.23,14.15,3.58,33.46,38.42,172.26,summer,March
967.75,15.69,3.05,44.75,17.51,245.31,summer,March
713.0,37.17,1.84,32.42,30.87,179.64,summer,March
743.85,44.44,3.8,35.51,35.74,187.2,summer,March
920.08,40.49,1.67,43.87,15.48,231.98,summer,March
950.18,20.19,3.9,38.31,23.28,240.24,summer,March
777.05,29.02,1.41,43.19,25.69,197.03,summer,March
784.8,21.59,0.42,31.04,35.7,198.06,summer,March
768.89,39.45,3.54,39.11,27.74,194.16,summer,March
862.55,13.33,1.49,35.22,10.54,217.94,summer,March
632.91,17.48,1.26,35.29,25.41,160.77,summer,March
801.39,19.2,3.18,42.92,31.94,203.68,summer,March
721.1,13.4,4.56,32.79,33.98,182.86,summer,March
831.62,36.73,2.1,36.17,15.59,209.3,summer,March
990.64,33.4,1.97,40.25,22.09,249.82,summer,April
619.56,13.12,1.39,40.45,32.96,158.22,summer,April
633.89,31.48,1.22,31.78,34.0,159.98,summer,April
980.91,18.77,2.28,38.77,29.79,248.2,summer,April
829.38,32.69,1.14,38.01,21.97,209.29,summer,April
658.62,33.08,4.57,40.87,11.72,166.63,summer,April
737.62,41.27,1.81,42.82,29.34,186.64,summer,April
731.48,16.21,0.71,30.34,10.14,184.51,summer,April
712.0,41.4,1.68,36.55,27.63,179.55,summer,April
776.76,25.47,2.65,32.22,33.66,196.08,summer,April
650.14,17.38,3.58,44.75,13.9,165.73,summer,April
653.73,36.26,1.17,43.02,21.26,165.68,summer,April
689.61,31.14,0.92,42.07,37.25,174.85,summer,April
671.92,19.17,1.54,34.97,25.54,170.42,summer,April
946.23,29.78,2.06,38.72,35.98,238.8,summer,April
943.99,27.31,0.5,42.38,21.71,238.63,summer,April
956.9,28.11,4.82,44.74,29.53,242.38,summer,April
881.59,36.67,4.7,41.03,23.26,222.56,summer,April
619.35,38.3,3.86,33.5,11.59,155.8,summer,April
968.97,21.81,4.45,44.22,26.02,245.54,summer,April
608.84,41.78,4.28,41.79,16.2,153.97,summer,April
643.18,26.94,4.22,35.41,20.42,162.79,summer,April
954.52,10.69,0.57,37.35,17.96,241.48,summer,April
965.26,24.49,3.72,33.47,19.84,243.21,summer,April
846.17,48.19,3.1,31.72,21.45,212.11,summer,April
707.19,22.58,1.0,35.27,25.06,179.07,summer,April
764.05,38.07,4.91,40.86,36.14,193.11,summer,April
639.89,28.55,1.63,31.01,28.48,161.63,summer,April
744.13,17.59,2.61,38.23,10.03,188.43,summer,April
897.92,23.1,2.09,34.82,26.22,226.73,summer,April
